time,Ax,Ay,Az,A_mag,active,activity
2025-11-09T17:16:55.823088,0.909899533,-0.030153235,0.100159399,0.915892069,1,walking
2025-11-09T17:16:56.348483,1.05366993,0.043217078,-0.23211053,1.079797821,1,walking
2025-11-09T17:16:56.873345,1.16034615,-0.431070685,0.006336118,1.237847031,1,walking
2025-11-09T17:16:57.398185,1.136344075,0.120910697,-0.258623689,1.171658426,1,walking
2025-11-09T17:16:57.923023,1.09658289,-0.391509622,-0.088939548,1.167768839,1,walking
2025-11-09T17:16:58.447837,1.081793666,0.065068416,-0.018559201,1.083907689,1,walking
2025-11-09T17:16:58.972654,0.915475786,-0.322760254,-0.03422606,0.971309178,1,walking
2025-11-09T17:16:59.497516,1.112341881,-0.121819079,0.011210055,1.119048709,1,walking
2025-11-09T17:17:00.022526,1.037668586,-0.131226882,-0.033744004,1.046477542,1,walking
2025-11-09T17:17:00.547550,1.219260454,0.04224591,-0.273567438,1.250287933,1,walking
2025-11-09T17:17:01.072395,1.265325189,0.122853041,-0.326111704,1.312436492,1,walking
2025-11-09T17:17:01.597231,1.185318112,-0.188879877,0.093335897,1.203896268,1,walking
2025-11-09T17:17:02.122131,1.136344075,-0.07429757,0.051176336,1.139919736,1,walking
2025-11-09T17:17:02.646987,1.178287148,-0.126643598,0.186671793,1.19968561,1,walking
2025-11-09T17:17:03.171792,0.966147006,-0.083222933,0.182772636,0.986798829,1,walking
2025-11-09T17:17:03.696563,0.968329012,-0.192980722,0.179117173,1.00348672,1,walking
2025-11-09T17:17:04.221359,0.879836261,-0.096490361,-0.097616583,0.890478093,1,walking
2025-11-09T17:17:04.746177,1.00833261,-0.121819079,0.030949501,1.016136021,1,walking
2025-11-09T17:17:05.270987,0.921294451,-0.424798787,0.161571011,1.027298723,1,walking
2025-11-09T17:17:05.795764,1.018515229,-0.457605541,0.017302478,1.116725337,1,walking
2025-11-09T17:17:06.320550,1.275508046,-0.282475501,-0.128227204,1.312690139,1,walking
2025-11-09T17:17:06.845345,0.986997306,-0.060306471,0.291948825,1.031035727,1,walking
2025-11-09T17:17:07.370162,1.073792934,0.019423407,0.162058398,1.086126815,1,walking
2025-11-09T17:17:07.895036,1.093673468,-0.168375686,0.23321788,1.130868076,1,walking
2025-11-09T17:17:08.419843,1.22920084,-0.160173997,-0.237413153,1.262123377,1,walking
2025-11-09T17:17:08.944714,1.194531083,-0.226993561,-0.41288197,1.284095832,1,walking
2025-11-09T17:17:09.469506,0.927113175,-0.336027682,0.014621811,0.986238937,1,walking
2025-11-09T17:17:09.994318,0.979966342,-0.353395939,0.03655453,1.042381387,1,walking
2025-11-09T17:17:10.519070,0.997422516,0.037390053,0.045571312,0.999162868,1,walking
2025-11-09T17:17:11.046353,1.034031868,-0.260282725,0.046302404,1.067292328,1,walking
2025-11-09T17:17:11.571553,1.163255572,-0.100832425,0.047277186,1.168574275,1,walking
2025-11-09T17:17:12.096374,1.090036869,-0.140634701,-0.140278637,1.107987631,1,walking
2025-11-09T17:17:12.621260,1.292479157,-0.032083042,-0.019282287,1.293021075,1,walking
