time,Ax,Ay,Az,A_mag,active,activity
2025-11-09T17:22:35.169155,0.9171728491783142,-0.05934157222509384,0.4137972593307495,1.0079462432558852,0,sitting
2025-11-09T17:22:35.694162,0.9048081636428833,-0.04486801475286484,0.40478044748306274,0.9922389643665775,0,sitting
2025-11-09T17:22:36.219004,0.9220218062400818,0.02330808714032173,0.427200585603714,1.0164486305015712,0,sitting
2025-11-09T17:22:36.743646,0.9002017378807068,-0.06657834351062775,0.4155031442642212,0.9936995056864616,0,sitting
2025-11-09T17:22:37.268356,0.9193549156188965,-0.041973307728767395,0.39990654587745667,1.0034443008308735,0,sitting
2025-11-09T17:22:37.793032,0.93220454454422,-0.03256549686193466,0.3575032949447632,0.9989366498187578,0,sitting
2025-11-09T17:22:38.317776,0.9242038130760193,0.016024310141801834,0.3501923680305481,0.9884554422160956,0,sitting
2025-11-09T17:22:38.842536,0.947963535785675,-0.004342066124081612,0.3343520760536194,1.0052089481689217,0,sitting
2025-11-09T17:22:39.367274,0.9535397887229919,-0.004100840073078871,0.3265537917613983,1.0079148398951867,0,sitting
2025-11-09T17:22:39.891958,0.9508728981018066,-0.0065130991861224174,0.337276428937912,1.0089385899660333,0,sitting
2025-11-09T17:22:40.416755,0.9389930367469788,-0.013508650474250317,0.34824278950691223,1.0015804746202395,0,sitting
2025-11-09T17:22:40.941546,0.9372959136962891,-0.002412258880212903,0.3808981776237488,1.0117375502282,0,sitting
2025-11-09T17:22:41.466265,0.956691563129425,-0.0045832921750843525,0.37699902057647705,1.0283034644723354,0,sitting
2025-11-09T17:22:41.991027,0.9162031412124634,0.0007283777231350541,0.40746113657951355,1.002722944947587,0,sitting
2025-11-09T17:22:42.515674,0.9195973873138428,-0.004824517760425806,0.3938140869140625,1.000386008387774,0,sitting
2025-11-09T17:22:43.040387,0.9200822710990906,-0.018091943114995956,0.3906460404396057,0.9997414830383297,0,sitting
2025-11-09T17:22:43.565054,0.912808895111084,0.02694997750222683,0.41014179587364197,1.0010807524889012,0,sitting
2025-11-09T17:22:44.089778,0.910869300365448,0.016024310141801834,0.41306617856025696,1.0002816247108288,0,sitting
2025-11-09T17:22:44.614436,0.9103844165802002,0.0048558516427874565,0.41306617856025696,0.9997234783266933,0,sitting
2025-11-09T17:22:45.139071,0.9164456129074097,0.011896836571395397,0.3994191288948059,0.9997748429845241,0,sitting
2025-11-09T17:22:45.663794,0.9079599380493164,0.022579709067940712,0.4155031442642212,0.9987712226819341,0,sitting
2025-11-09T17:22:46.188533,0.8706232309341431,0.057056255638599396,0.43670475482940674,0.9756799011152765,0,sitting
2025-11-09T17:22:46.713273,0.8335290551185608,0.042974285781383514,0.4956793785095215,0.9707293759049668,0,sitting
2025-11-09T17:22:47.237981,0.8897765278816223,0.011654043570160866,0.4406038820743561,0.9929601538831272,0,sitting
2025-11-09T17:22:47.762631,0.9031110405921936,0.02622159756720066,0.44645261764526367,1.0077782809828753,0,sitting
2025-11-09T17:22:48.287386,0.9186275601387024,0.03399096056818962,0.441334992647171,1.0197100349519035,0,sitting
2025-11-09T17:22:48.812153,0.9048081636428833,0.045159418135881424,0.4113602936267853,0.9949545101228966,0,sitting
2025-11-09T17:22:49.336759,0.9115966558456421,0.032291412353515625,0.41915857791900635,1.0038650864054524,0,sitting
2025-11-09T17:22:49.861402,0.9057779312133789,0.02622159756720066,0.4189148545265198,0.9983040058995757,0,sitting
2025-11-09T17:22:50.386303,0.9149909019470215,0.03666168078780174,0.4257383942604065,1.0098542517766809,0,sitting
2025-11-09T17:22:50.911281,0.9142635464668274,0.037875641137361526,0.4111165702342987,1.0031596238440221,0,sitting
2025-11-09T17:22:51.435949,0.9089297652244568,0.035204920917749405,0.42646947503089905,1.004623769229527,0,sitting
2025-11-09T17:22:51.960714,0.9176577925682068,0.017238274216651917,0.40867963433265686,1.0046949914662642,0,sitting
2025-11-09T17:22:52.485410,0.9091721773147583,0.0009711703169159591,0.36359572410583496,0.9791817205008931,0,sitting
2025-11-09T17:22:53.010273,0.929780125617981,0.02282250113785267,0.37846121191978455,1.0041139564213655,0,sitting
2025-11-09T17:22:53.534959,0.9227491617202759,0.03350537270307541,0.3908897340297699,1.0026880918936396,0,sitting
2025-11-09T17:22:54.059612,0.9406901597976685,0.04880130663514137,0.37553682923316956,1.0140549562917993,0,sitting
2025-11-09T17:22:54.584283,0.9266282916069031,0.027435559779405594,0.38869649171829224,1.005225180455029,0,sitting
2025-11-09T17:22:55.108913,0.9229916334152222,0.02694997750222683,0.3845536410808563,1.000260645787094,0,sitting
2025-11-09T17:22:55.633642,0.9220218062400818,0.03836122900247574,0.386259526014328,1.0003960298349932,0,sitting
2025-11-09T17:22:56.158446,0.9290527701377869,0.02355087921023369,0.37139400839805603,1.0008132708383946,0,sitting
2025-11-09T17:22:56.683197,0.9227491617202759,0.04054636135697365,0.40770483016967773,1.009620350140808,0,sitting
2025-11-09T17:22:57.207888,0.9125664234161377,0.04758734628558159,0.38699060678482056,0.9923727940712144,0,sitting
2025-11-09T17:22:57.732605,0.9115966558456421,0.026464389637112617,0.40916699171066284,0.9995631315596712,0,sitting
2025-11-09T17:22:58.257247,0.9101420044898987,0.04491662606596947,0.4096544086933136,0.9990959444397266,0,sitting
2025-11-09T17:22:58.781947,0.893413245677948,0.07259497791528702,0.38699060678482056,0.9763293440796553,0,sitting
2025-11-09T17:22:59.306627,0.9074750542640686,0.05559949949383736,0.42232662439346313,1.0024779579258172,0,sitting
